;District RUS;Region RUS;Район RUS;City RUS;ШИРОТА google;ДОЛГОТА google;Актуален М;Актуален В;Актуален Е;;
1320;ПФО;Пермский край;Косинский;Горки;59.833;55.133;0;0;0;0;0
1321;СЗФО;Псковская область;Великолукский;Горки;56.83;30.716;0;0;0;0;0
1322;ПФО;Республика Мордовия;Инсарский;Горки;53.816;44.3;0;0;0;0;0
1323;ПФО;Самарская область;Волжский;Горки;53.33;49.766;0;0;0;0;0
1324;ДФО;Сахалинская область;Тымовский;Горки;51.183;142.65;0;0;0;0;0
1325;УФО;Свердловская область;Ирбитский;Горки;57.316;62.566;0;0;0;0;0
1326;ЦФО;Смоленская область;Демидовский;Горки;55.666;31.833;0;0;0;0;0
1327;ЦФО;Смоленская область;Новодугинский;Горки;55.55;34.133;0;0;0;0;0
1328;ЦФО;Смоленская область;Сычевский;Горки;55.75;34.233;0;0;0;0;0
1329;ЦФО;Смоленская область;Угранский;Горки;54.95;34.316;0;0;0;0;0
1330;ЦФО;Тверская область;Ржевский;Горки;56.466;33.9;0;0;0;0;0
1331;ЦФО;Тульская область;Куркинский;Горки;53.583;38.9;0;0;0;0;0
1334;ЦФО;Калужская область;Мещовский;Горное;54.35;35.133;0;0;0;0;0
1335;ЮФО;Краснодарский край;Лабинский;Горное;44.116;41.83;0;0;0;0;0
1336;СЗФО;Ленинградская область;Волховский;Горное;60.266;32.7;0;0;0;0;0
1337;ЦФО;Московская область;Зарайский;Горное;54.9;38.8;0;0;0;0;0
1338;СЗФО;Новгородская область;Маревский;Горное;57.366;32.383;0;0;0;0;0
1339;ДФО;Приморский край;Надеждинский;Горное;43.416;131.666;0;0;0;0;0
1340;ДФО;Сахалинская область;Поронайский;Горное;48.75;142.816;0;0;0;0;0
1341;ПФО;Пермский край;Горнозаводский;Горнозаводск;58.383;58.316;0;0;0;0;0
1342;ДФО;Сахалинская область;Невельский;Горнозаводск;46.583;141.833;0;0;0;0;0
1343;УФО;Тюменская область;;Горно-Правдинск;60.05;69.93;0;0;0;0;0
1344;УФО;Тюменская область;;Горнореченск;61.78861111;67.59527778;0;0;0;0;0
1345;ЦФО;Рязанская область;Милославский;Горняк;53.6;39.483;0;0;0;0;0
1346;ЦФО;Тверская область;Вышневолоцкий;Горняк;57.583;34.633;0;0;0;0;0
1347;ЦФО;Тульская область;Ленинский;Горняк;54.15;37.866;0;0;0;0;0
1348;ЦФО;Брянская область;Брянский;Городец;53.35;34.33;0;0;0;0;0
1349;ЦФО;Брянская область;Дубровский;Городец;53.516;33.483;0;0;0;0;0
1350;ЦФО;Брянская область;Суражский;Городец;52.916;32.35;0;0;0;0;0
1351;ЦФО;Калужская область;Козельский;Городец;54.133;35.85;0;0;0;0;0
1352;ЦФО;Калужская область;Куйбышевский;Городец;54.5;33.783;0;0;0;0;0
1353;ЦФО;Калужская область;Мещовский;Городец;54.333;35.35;0;0;0;0;0
1354;ЦФО;Калужская область;Юхновский;Городец;54.783;35.5;0;0;0;0;0
1355;ЦФО;Московская область;Коломенский;Городец;55.5;39.5;0;0;0;0;0
1356;ПФО;Нижегородская область;Городецкий;Городец;56.65;43.483;0;0;0;0;0
1357;ЦФО;Орловская область;Дмитровский;Городец;52.433;35.116;0;0;0;0;0
1358;СЗФО;Псковская область;Куньинский;Городец;55.95;31.216;0;0;0;0;0
1359;СЗФО;Псковская область;Струго-Красненский;Городец;58.83;28.716;0;0;0;0;0
1360;ЦФО;Смоленская область;Демидовский;Городец;55.433;31.583;0;0;0;0;0
1361;ЦФО;Белгородская область;Алексеевский;Городище;50.75;38.716;0;0;0;0;0
1362;ЦФО;Брянская область;Климовский;Городище;52.4;32.283;0;0;0;0;0
1363;ЦФО;Брянская область;Погарский;Городище;52.483;33.216;0;0;0;0;0
1364;ЦФО;Владимирская область;Меленковский;Городище;55.516;41.833;0;0;0;0;0
1365;ЦФО;Владимирская область;Юрьев - Польский;Городище;56.6;39.716;0;0;0;0;0
1366;ЮФО;Волгоградская область;Городищенский;Городище;48.8;44.483;0;0;0;0;0
1367;СЗФО;Вологодская область;Череповецкий;Городище;59.66;37.866;0;0;0;0;0
1368;ЦФО;Ивановская область;Заволжский;Городище;57.466;41.883;0;0;0;0;0
1369;ЦФО;Калужская область;Дзержинский;Городище;54.583;35.75;0;0;0;0;0
1370;ЦФО;Калужская область;Кировский;Городище;54.233;34.383;0;0;0;0;0
1371;ЦФО;Калужская область;Мещовский;Городище;54.266;35.333;0;0;0;0;0
1372;ЦФО;Костромская область;Парфеньевский;Городище;58.666;43.433;0;0;0;0;0
1373;СФО;Красноярский край;Енисейский;Городище;58.3;92.433;0;0;0;0;0
1374;ЦФО;Курская область;Дмитриевский;Городище;51.983;35;0;0;0;0;0
1375;ЦФО;Курская область;Курский;Городище;51.733;36.516;0;0;0;0;0
1376;ЦФО;Курская область;Поныровский;Городище;52.25;36.25;0;0;0;0;0
1377;СЗФО;Ленинградская область;Киришский;Городище;59.633;32.133;0;0;0;0;0
1378;ЦФО;Московская область;Клинский;Городище;56.216;36.233;0;0;0;0;0
1379;ЦФО;Московская область;Ступинский;Городище;54.883;38.216;0;0;0;0;0
1380;ЦФО;Московская область;Шаховский;Городище;55.916;35.616;0;0;0;0;0
1381;ПФО;Нижегородская область;Дальнеконстантиновский;Городище;55.833;44.4;0;0;0;0;0
1382;СЗФО;Новгородская область;Волотовский;Городище;57.766;30.633;0;0;0;0;0
1383;СЗФО;Новгородская область;Мошенской;Городище;58.383;35.15;0;0;0;0;0
1384;СЗФО;Новгородская область;Солецкий;Городище;57.983;30.33;0;0;0;0;0
1385;ПФО;Оренбургская область;Оренбургский;Городище;51.633;54.383;0;0;0;0;0
1386;ЦФО;Орловская область;Болховский;Городище;53.45;36.366;0;0;0;0;0
1387;ЦФО;Орловская область;Свердловский;Городище;52.733;36.583;0;0;0;0;0
1388;ЦФО;Орловская область;Сосковский;Городище;52.633;35.4;0;0;0;0;0
1389;ПФО;Пензенская область;Городищенский;Городище;53.283;45.683;0;0;0;0;0
1390;ПФО;Пензенская область;Мокшанский;Городище;53.633;44.25;0;0;0;0;0
1391;ПФО;Пермский край;Усольский;Городище;59.416;56.133;0;0;0;0;0
1392;ПФО;Пермский край;Юсьвинский;Городище;59.133;56.183;0;0;0;0;0
1393;СЗФО;Псковская область;Дновский;Городище;57.7;30.5;0;0;0;0;0
1394;СЗФО;Псковская область;Невельский;Городище;56.33;29.683;0;0;0;0;0
1395;СЗФО;Псковская область;Новоржевский;Городище;57.266;29.433;0;0;0;0;0
1396;СЗФО;Псковская область;Пыталовский;Городище;57.15;27.933;0;0;0;0;0
1397;ЮФО;Ростовская область;Азовский;Городище;47.166;39.5;0;0;0;0;0
1398;ЦФО;Рязанская область;Рыбновский;Городище;54.7;39.6;0;0;0;0;0
1399;УФО;Свердловская область;Байкаловский;Городище;57.583;63.933;0;0;0;0;0
1400;ЦФО;Смоленская область;Велижский;Городище;55.616;31.6;0;0;0;0;0
1401;ЦФО;Смоленская область;Демидовский;Городище;55.366;31.95;0;0;0;0;0
1402;ЦФО;Тверская область;Осташковский;Городище;56.933;32.933;0;0;0;0;0
1403;ЦФО;Тверская область;Селижаровский;Городище;56.8;33.3;0;0;0;0;0
1404;ЦФО;Тверская область;Удомельский;Городище;57.9;34.533;0;0;0;0;0
1405;СФО;Томская область;Парабельский;Городище;58.983;81.516;0;0;0;0;0
1406;УФО;Тюменская область;Сорокинский;Городище;56.466;69.966;0;0;0;0;0
1407;УФО;Тюменская область;Ханты-Мансийский;Городище;61.133;69.833;0;0;0;0;0
1408;УФО;Челябинская область;Варненский;Городище;53;61.116;0;0;0;0;0
1409;ЮФО;Республика Калмыкия;Городовиковский;Городовиковск;46.66;41.933;0;0;0;0;0
1410;ЦФО;Владимирская область;Гороховецкий;Гороховец;56.2;42.683;0;0;0;0;0
1411;СЗФО;Ленинградская область;Киришский;Гороховец;59.616;31.85;0;0;0;0;0
1412;ЮФО;Волгоградская область;Урюпинский;Горский;50.8;41.933;0;0;0;0;0
1413;ЮФО;Краснодарский край;Тбилисский;Горский;45.366;40.66;0;0;0;0;0
1414;ЮФО;Ростовская область;Константиновский;Горский;47.6;41.683;0;0;0;0;0
1415;ПФО;Самарская область;Кинельский;Горский;53.16;51.66;0;0;0;0;0
1416;СФО;Томская область;Асиновский;Горский;57.15;85.633;0;0;0;0;0
1417;СФО;Иркутская область;Иркутский;Горячий Ключ;52.283;104.916;0;0;0;0;0
м;ЮФО;Краснодарский край;;Горячий Ключ;44.63333333;39.13333333;0;0;0;0;0
1418;ЦФО;Белгородская область;Грайворонский;Грайворон;50.483;35.666;0;0;0;0;0
1420;ПФО;Пермский край;Чусовской;Гремячинск;58.566;57.833;0;0;0;0;0
1421;СФО;Республика Бурятия;Прибайкальский;Гремячинск;52.833;107.9;0;0;0;0;0
1422;ЦФО;Брянская область;Новозыбковский;Грозный;52.7;31.683;0;0;0;0;0
1423;ЦФО;Брянская область;Погарский;Грозный;52.633;33.116;0;0;0;0;0
1424;ЦФО;Орловская область;Сосковский;Грозный;52.8;35.55;0;0;0;0;0
1425;ЮФО;Республика Адыгея;Майкопский;Грозный;44.55;40.133;0;0;0;0;0
1427;СФО;Забайкальский край;Улетовский;Грязи;50.16;111.166;0;0;0;0;0
1428;ЦФО;Липецкая область;Грязинский;Грязи;52.516;39.95;0;0;0;0;0
1429;ЦФО;Московская область;Можайский;Грязи;55.533;35.733;0;0;0;0;0
1430;СЗФО;Вологодская область;Грязовецкий;Грязовец;58.866;40.25;0;0;0;0;0
1431;ПФО;Пермский край;Октябрьский;Губаха;58.866;57.6;0;0;0;0;0
1432;ЦФО;Белгородская область;Губкинский;Губкин;51.283;37.533;0;0;0;0;0
1433;УФО;Тюменская область;Пуровский;Губкинский;64.433;76.366;0;0;0;0;0
1434;ЮФО;Ростовская область;Красносулинский;Гуково;48.5;39.933;0;0;0;0;0
1435;ЮФО;Краснодарский край;Гулькевичский;Гулькевичи;45.35;40.7;0;0;0;0;0
1436;СКФО;Республика Дагестан;Гунибский;Гуниб;42.4;46.966;0;0;0;0;0
1437;СЗФО;Калининградская область;Гурьевский;Гурьевск;54.783;20.633;0;0;0;0;0
м;СФО;Кемеровская область;;Гурьевск;54.28333333;85.93333333;0;0;0;0;0
1438;ЦФО;Белгородская область;Волоконовский;Гусев;50.383;37.7;0;0;0;0;0
1439;СЗФО;Калининградская область;Гусевский;Гусев;54.6;22.2;0;0;0;0;0
1440;ЦФО;Орловская область;Дмитровский;Гусев;52.7;35.166;0;0;0;0;0
1441;ЮФО;Ростовская область;Каменский;Гусев;48.433;40.5;0;0;0;0;0
1442;ЮФО;Ростовская область;Чертковский;Гусев;49.383;40.416;0;0;0;0;0
1443;ПФО;Саратовская область;Татищевский;Гусев;51.733;45.483;0;0;0;0;0
1444;СФО;Республика Бурятия;Селенгинский;Гусиноозерск;51.283;106.5;0;0;0;0;0
1445;ЦФО;Владимирская область;Александровский;Гусь-Хрустальный;55.6;40.65;0;0;0;0;0
1446;УФО;Тюменская область;Тазовский;Гыда;70.9;78.5;0;0;0;0;0
1447;ПФО;Республика Башкортостан;Давлекановский;Давлеканово;54.216;55.83;0;0;0;0;0
1448;УФО;Курганская область;Далматовский;Далматово;56.283;62.95;0;0;0;0;0
1449;ЦФО;Тверская область;Калининский;Далматово;56.933;35.916;0;0;0;0;0
1450;ДФО;Приморский край;Дальнегорский;Дальнегорск;44.566;135.566;0;0;0;0;0
1451;ДФО;Приморский край;Дальнереченский;Дальнереченск;45.866;133.733;0;0;0;0;0
1453;ЮФО;Ростовская область;Каменский;Данилов;48.5;40.816;0;0;0;0;0
1454;ЦФО;Ярославская область;Даниловский;Данилов;58.183;40.216;0;0;0;0;0
1455;ЦФО;Ярославская область;Первомайский;Данилов;58.6;39.416;0;0;0;0;0
1456;СФО;Алтайский край;Славгородский;Даниловка;53.133;79.283;0;0;0;0;0
1457;ДФО;Амурская область;Свободненский;Даниловка;51.33;127.833;0;0;0;0;0
1458;ЮФО;Астраханская область;Харабалинский;Даниловка;47.416;47.83;0;0;0;0;0
1459;ЦФО;Брянская область;Гордеевский;Даниловка;52.983;32.83;0;0;0;0;0
1460;ЦФО;Брянская область;Красногорский;Даниловка;53.83;31.383;0;0;0;0;0
1461;ЦФО;Владимирская область;Собинский;Даниловка;56.216;40.16;0;0;0;0;0
1462;ЦФО;Владимирская область;Судогодский;Даниловка;56.116;40.833;0;0;0;0;0
1464;ЦФО;Калужская область;Износковский;Даниловка;54.966;35.383;0;0;0;0;0
1465;СФО;Кемеровская область;Тяжинский;Даниловка;56.3;88.65;0;0;0;0;0
1466;ПФО;Кировская область;Мурашинский;Даниловка;59.4;49.1;0;0;0;0;0
1467;ПФО;Кировская область;Халтуринский;Даниловка;58.75;48.916;0;0;0;0;0
1468;ЦФО;Липецкая область;Тербунский;Даниловка;52.16;38.266;0;0;0;0;0
1469;ПФО;Нижегородская область;Починковский;Даниловка;54.683;44.6;0;0;0;0;0
1470;ПФО;Оренбургская область;Курманаевский;Даниловка;52.633;51.616;0;0;0;0;0
1471;ПФО;Пензенская область;Камешкирский;Даниловка;52.766;46.133;0;0;0;0;0
1472;ДФО;Приморский край;Михайловский;Даниловка;43.9;132.283;0;0;0;0;0
1473;ПФО;Республика Башкортостан;Стерлибашевский;Даниловка;53.333;55.65;0;0;0;0;0
1474;ПФО;Республика Мордовия;Зубово-Полянский;Даниловка;54.2;42.7;0;0;0;0;0
1475;ЦФО;Рязанская область;Рязанский;Даниловка;54.6;39.6;0;0;0;0;0
1476;ЦФО;Рязанская область;Шацкий;Даниловка;54.116;41.566;0;0;0;0;0
1477;ПФО;Саратовская область;Аткарский;Даниловка;51.966;44.9;0;0;0;0;0
1478;ПФО;Саратовская область;Красноармейский;Даниловка;50.583;45.516;0;0;0;0;0
1479;ПФО;Саратовская область;Перелюбский;Даниловка;52.66;49.933;0;0;0;0;0
1480;ЦФО;Тамбовская область;Знаменский;Даниловка;52.516;41.383;0;0;0;0;0
1481;ЦФО;Тульская область;Алексинский;Даниловка;54.45;37.166;0;0;0;0;0
1482;ЦФО;Тульская область;Куркинский;Даниловка;53.6;38.6;0;0;0;0;0
1483;ДФО;Хабаровский край;Смидовичский;Даниловка;48.6;134.6;0;0;0;0;0
1484;ЦФО;Ярославская область;Гаврилов-Ямский;Даниловка;57.383;39.883;0;0;0;0;0
1485;ЦФО;Липецкая область;Данковский;Данков;53.266;39.116;0;0;0;0;0
1486;ПФО;Кировская область;Даровский;Даровское;58.766;47.95;0;0;0;0;0
1487;СФО;Красноярский край;Балахтинский;Даурское;55.216;91.966;0;0;0;0;0
1488;ЦФО;Калужская область;Бабынинский;Дегтянка;54.483;35.933;0;0;0;0;0
1489;ЦФО;Тамбовская область;Сосновский;Дегтянка;53.33;41.216;0;0;0;0;0
1490;УФО;Свердловская область;;Дегтярск;56.7;60.1;0;0;0;0;0
1491;ЦФО;Брянская область;Суражский;Дедовск;53.266;32.55;0;0;0;0;0
1492;ЦФО;Московская область;Истринский;Дедовск;55.86666667;37.13333333;0;0;0;0;0
1493;ДФО;Республика Саха (Якутия);Олекминский;Дельгей;59.9;118.6;0;0;0;0;0
1494;ЮФО;Волгоградская область;Быковский;Демидов;49.216;45.366;0;0;0;0;0
1495;ЦФО;Смоленская область;Демидовский;Демидов;55.266;31.516;0;0;0;0;0
1496;ЦФО;Брянская область;Дятьковский;Денисовка;53.516;34.266;0;0;0;0;0
1497;ЦФО;Владимирская область;Ковровский;Денисовка;56.1;41.533;0;0;0;0;0
1498;ЦФО;Воронежская область;Аннинский;Денисовка;51.616;40.433;0;0;0;0;0
1499;СФО;Красноярский край;Абанский;Денисовка;56.583;96.66;0;0;0;0;0
1500;ЦФО;Курская область;Щигровский;Денисовка;51.933;36.633;0;0;0;0;0
1501;СФО;Омская область;Седельниковский;Денисовка;56.966;75.35;0;0;0;0;0
1502;ЦФО;Орловская область;Колпнянский;Денисовка;52.35;36.933;0;0;0;0;0
1503;СЗФО;Псковская область;Куньинский;Денисовка;56.383;30.9;0;0;0;0;0
1504;ЮФО;Ростовская область;Матвеево-Курганский;Денисовка;47.516;38.9;0;0;0;0;0
1505;ЦФО;Смоленская область;Краснинский;Денисовка;54.333;31.333;0;0;0;0;0
1506;ЦФО;Смоленская область;Рославльский;Денисовка;54.15;33.416;0;0;0;0;0
1508;СКФО;Республика Дагестан;Дербентский;Дербент;42.5;48.3;0;0;0;0;0
1509;ЦФО;Смоленская область;Рославльский;Десногорск;54.15;33.283;0;0;0;0;0
1510;ДФО;Республика Саха (Якутия);Эвено-Бытантайский Национальный;Джаргалах;67.283;130.516;0;0;0;0;0
1511;СФО;Республика Бурятия;;Джилинда;53.66;111.94;0;0;0;0;0
1512;ПФО;Нижегородская область;#Н/Д;Дзержинск ;56.233333;43.45;0;0;0;0;0
1513;ЦФО;Воронежская область;Эртильский;Дзержинский;51.683;40.866;0;0;0;0;0
1514;ЦФО;Московская область;Можайский;Дзержинский;55.633;37.833;0;0;0;0;0
1515;СФО;Новосибирская область;Искитимский;Дзержинский;54.916;83.483;0;0;0;0;0
1516;СФО;Томская область;Первомайский;Дзержинский;56.516;84.833;0;0;0;0;0
1517;СЗФО;Калининградская область;Славский;Дзержинское;54.883;21.766;0;0;0;0;0
1519;ДФО;Приморский край;Октябрьский;Дзержинское;44.1;131.75;0;0;0;0;0
1520;СКФО;Республика Дагестан;Хасавюртовский;Дзержинское;43.516;46.483;0;0;0;0;0
1521;СФО;Красноярский край;;Дивногорск;55.95;92.38333333;0;0;0;0;0
1522;СЗФО;Калининградская область;Гвардейский;Дивное;54.666;21.366;0;0;0;0;0
1523;СКФО;Ставропольский край;Апанасенковский;Дивное;45.916;43.35;0;0;0;0;0
1524;СФО;Республика Северная Осетия - Алания;Дигорский;Дигора;43.166;44.15;0;0;0;0;0
1526;ПФО;Ульяновская область;Мелекесский;Димитровград;54.233;49.633;0;0;0;0;0
1527;ЦФО;Курская область;Фатежский;Дмитриев-Льговский;52.133;35.83;0;0;0;0;0
1528;ЦФО;Московская область;Дмитровский;Дмитров;56.35;37.566;0;0;0;0;0
1529;ЦФО;Орловская область;Дмитровский;Дмитровск-Орловский;52.5;35.15;0;0;0;0;0
1530;СФО;Псковская область;Дедовичский;Дно;57.816;29.95;0;0;0;0;0
1531;ДФО;Амурская область;Серышевский;Добрянка;51.216;128.4;0;0;0;0;0
1532;СФО;Омская область;Полтавский;Добрянка;54.216;71.433;0;0;0;0;0
1533;ПФО;Пермский край;Добрянский;Добрянка;58.45;56.4;0;0;0;0;0
1536;ПФО;Нижегородская область;Ветлужский;Долгий Мост;57.983;45.25;0;0;0;0;0
1537;СЗФО;Новгородская область;Крестецкий;Долгий Мост;58.283;32.45;0;0;0;0;0
1538;ЦФО;Московская область;;Долгопрудный;55.93333333;37.5;0;0;0;0;0
1539;СЗФО;Архангельская область;Мезенский;Долгощелье;66.5;43.45;0;0;0;0;0
1540;ДФО;Сахалинская область;Долинский;Долинск;47.333;142.8;0;0;0;0;0
1541;ЦФО;Московская область;Домодедовский;Домодедово;55.433;37.766;0;0;0;0;0
1542;ЮФО;Ростовская область;#Н/Д;Донецк ;48.336919;39.944892;0;0;0;0;0
1543;СЗФО;Калининградская область;Зеленоградский;Донское;54.933;19.966;0;0;0;0;0
1544;СЗФО;Калининградская область;Озерский;Донское;54.45;21.75;0;0;0;0;0
1545;ЦФО;Курская область;Золотухинский;Донское;52.33;36.366;0;0;0;0;0
1546;ЦФО;Липецкая область;Задонский;Донское;52.616;38.966;0;0;0;0;0
1547;ПФО;Нижегородская область;Семеновский;Донское;56.966;44.183;0;0;0;0;0
1548;ПФО;Оренбургская область;Беляевский;Донское;51.4;56.866;0;0;0;0;0
1549;ПФО;Оренбургская область;Сакмарский;Донское;52.5;55.5;0;0;0;0;0
1550;ДФО;Приморский край;Лесозаводский;Донское;45.4;133.35;0;0;0;0;0
1551;СКФО;Ставропольский край;Кировский;Донское;45.45;41.966;0;0;0;0;0
1552;ЦФО;Тамбовская область;Тамбовский;Донское;52.783;41.483;0;0;0;0;0
1553;ЦФО;Тверская область;Андреапольский;Донское;56.566;32.16;0;0;0;0;0
1554;ЮФО;Волгоградская область;Городищенский;Донской;49;43.966;0;0;0;0;0
1555;ЦФО;Воронежская область;Верхнемамонский;Донской;50.83;40.183;0;0;0;0;0
1556;ЦФО;Калужская область;Хвастовичский;Донской;53.383;34.916;0;0;0;0;0
1557;ЮФО;Краснодарский край;Отрадненский;Донской;44.366;41.366;0;0;0;0;0
1558;ЦФО;Липецкая область;Краснинский;Донской;52.85;39.16;0;0;0;0;0
1559;ЮФО;Ростовская область;Азовский;Донской;47.116;39.316;0;0;0;0;0
1560;ЮФО;Ростовская область;Волгодонской;Донской;47.416;41.516;0;0;0;0;0
1561;ЮФО;Ростовская область;Зерноградский;Донской;46.85;40.55;0;0;0;0;0
1562;ЮФО;Ростовская область;Морозовский;Донской;48.266;42.16;0;0;0;0;0
1563;ЮФО;Ростовская область;Орловский;Донской;46.833;41.866;0;0;0;0;0
1564;ЦФО;Тульская область;Кимовский;Донской;53.966;38.333;0;0;0;0;0
1565;СЗФО;Новгородская область;Батецкий;Дорогобуж;58.616;30.616;0;0;0;0;0
1566;ЦФО;Смоленская область;Дорогобужский;Дорогобуж;54.916;33.3;0;0;0;0;0
1567;ЦФО;Московская область;Орехово-Зуевский;Дрезна;55.75;38.83333333;0;0;0;0;0
1568;ПФО;Республика Татарстан;Дрожжановский;Дрожжаное;54.733;47.566;0;0;0;0;0
1569;ЦФО;Белгородская область;Корочанский;Дружный;50.933;37.283;0;0;0;0;0
1570;ЦФО;Белгородская область;Яковлевский;Дружный;50.75;36.616;0;0;0;0;0
1571;ЦФО;Брянская область;Комаричский;Дружный;52.5;34.75;0;0;0;0;0
1572;СФО;Иркутская область;Нукутский;Дружный;53.866;103.5;0;0;0;0;0
1573;ЮФО;Краснодарский край;Белореченский;Дружный;44.733;39.766;0;0;0;0;0
1574;ПФО;Нижегородская область;Кстовский;Дружный;56.166;43.916;0;0;0;0;0
1575;СФО;Новосибирская область;Доволенский;Дружный;54.433;79.116;0;0;0;0;0
1576;СФО;Новосибирская область;Коченевский;Дружный;54.966;82.166;0;0;0;0;0
1577;ПФО;Оренбургская область;Первомайский;Дружный;51.883;52.233;0;0;0;0;0
1578;ПФО;Оренбургская область;Тоцкий;Дружный;52.283;52.366;0;0;0;0;0
1579;ЦФО;Орловская область;Мценский;Дружный;53.333;36.5;0;0;0;0;0
1580;ПФО;Пензенская область;Башмаковский;Дружный;53.133;42.75;0;0;0;0;0
1581;ЮФО;Республика Адыгея;Тахтамукайский;Дружный;44.95;38.9;0;0;0;0;0
1582;ЮФО;Республика Калмыкия;Октябрьский;Дружный;47.583;45.533;0;0;0;0;0
1583;ЮФО;Республика Калмыкия;Черноземельский;Дружный;45.4;45.55;0;0;0;0;0
1584;ЮФО;Республика Калмыкия;Яшкульский;Дружный;46.433;44.9;0;0;0;0;0
1585;ПФО;Республика Мордовия;Атяшевский;Дружный;54.733;45.833;0;0;0;0;0
1586;ДФО;Республика Саха (Якутия);Алданский;Дружный;58.616;126.383;0;0;0;0;0
1587;ЮФО;Ростовская область;Кагальницкий;Дружный;46.883;39.95;0;0;0;0;0
1588;СКФО;Ставропольский край;Ипатовский;Дружный;45.866;42.9;0;0;0;0;0
1590;УФО;Челябинская область;Варненский;Дружный;53.55;60.933;0;0;0;0;0
1591;УФО;Челябинская область;Кунашакский;Дружный;55.833;61.35;0;0;0;0;0
1592;ЦФО;Владимирская область;Судогодский;Дубенки;55.883;40.733;0;0;0;0;0
1593;ЦФО;Ивановская область;Гаврилово-Посадский;Дубенки;56.483;39.966;0;0;0;0;0
1594;ЦФО;Калужская область;Дзержинский;Дубенки;54.65;35.75;0;0;0;0;0
1595;ЦФО;Московская область;Коломенский;Дубенки;55.66;38.566;0;0;0;0;0
1596;ПФО;Нижегородская область;Богородский;Дубенки;56.15;43.466;0;0;0;0;0
1597;ПФО;Республика Мордовия;Дубенский;Дубенки;54.45;46.3;0;0;0;0;0
1598;ЦФО;Владимирская область;Александровский;Дубна;56.466;38.416;0;0;0;0;0
1599;ЦФО;Калужская область;Ульяновский;Дубна;53.783;35.466;0;0;0;0;0
1600;ЦФО;Московская область;Коломенский;Дубна;56.75;37.15;0;0;0;0;0
1601;ЦФО;Тульская область;Дубенский;Дубна;54.15;36.966;0;0;0;0;0
1602;ДФО;Амурская область;Белогорский;Дубовка;50.683;128.866;0;0;0;0;0
1603;ДФО;Амурская область;Свободненский;Дубовка;51.35;128.1;0;0;0;0;0
1604;ЮФО;Волгоградская область;Дубовский;Дубовка;49.5;44.833;0;0;0;0;0
1605;ЮФО;Волгоградская область;Камышинский;Дубовка;50.233;45.566;0;0;0;0;0
1606;ЦФО;Московская область;Подольский;Дубовка;55.333;37.3;0;0;0;0;0
1607;ПФО;Нижегородская область;Ардатовский;Дубовка;55.233;42.916;0;0;0;0;0
1608;СФО;Омская область;Тарский;Дубовка;57.166;74.766;0;0;0;0;0
1609;ЦФО;Орловская область;Залегощенский;Дубовка;52.833;36.7;0;0;0;0;0
1610;ЮФО;Ростовская область;Целинский;Дубовка;46.633;41;0;0;0;0;0
1611;ЦФО;Рязанская область;Сараевский;Дубовка;53.85;41.216;0;0;0;0;0
1612;ПФО;Самарская область;Красноармейский;Дубовка;52.55;50.66;0;0;0;0;0
1613;СКФО;Ставропольский край;Шпаковский;Дубовка;45.216;42.183;0;0;0;0;0
1614;ЦФО;Тверская область;Селижаровский;Дубовка;56.616;33.15;0;0;0;0;0
1615;ЦФО;Тульская область;Богородицкий;Дубовка;53.816;38.16;0;0;0;0;0
1616;ЦФО;Тульская область;Киреевский;Дубовка;54.83;38.1;0;0;0;0;0
1617;ЦФО;Тульская область;Узловский;Дубовка;53.95;38.66;0;0;0;0;0
1618;СЗФО;Калининградская область;Гусевский;Дубовское;54.783;22.183;0;0;0;0;0
1619;ДФО;Приморский край;Спасский;Дубовское;44.55;132.85;0;0;0;0;0
1621;ЦФО;Белгородская область;Валуйский;Дубровка;50.233;37.733;0;0;0;0;0
1622;ЦФО;Брянская область;Брасовский;Дубровка;52.7;34.55;0;0;0;0;0
1623;ЦФО;Брянская область;Брянский;Дубровка;53.383;34.3;0;0;0;0;0
1624;ЦФО;Брянская область;Гордеевский;Дубровка;52.966;32.116;0;0;0;0;0
1625;ЦФО;Брянская область;Дубровский;Дубровка;53.7;33.5;0;0;0;0;0
1626;ЦФО;Брянская область;Новозыбковский;Дубровка;52.45;32;0;0;0;0;0
1627;ЦФО;Брянская область;Почепский;Дубровка;52.9;33.3;0;0;0;0;0
1628;ЦФО;Брянская область;Рогнединский;Дубровка;53.866;33.816;0;0;0;0;0
1629;ЦФО;Брянская область;Суражский;Дубровка;53.83;32.45;0;0;0;0;0
1630;ЦФО;Владимирская область;Меленковский;Дубровка;55.5;41.483;0;0;0;0;0
1631;ЦФО;Владимирская область;Петушинский;Дубровка;55.85;39.2;0;0;0;0;0
1632;ЦФО;Владимирская область;Собинский;Дубровка;56.66;40.33;0;0;0;0;0
1633;ЦФО;Воронежская область;Аннинский;Дубровка;51.4;40.8;0;0;0;0;0
1634;ЦФО;Воронежская область;Терновский;Дубровка;51.616;41.15;0;0;0;0;0
1635;ЦФО;Ивановская область;Савинский;Дубровка;56.516;41.433;0;0;0;0;0
1636;СЗФО;Калининградская область;Зеленоградский;Дубровка;54.883;20.2;0;0;0;0;0
1637;СЗФО;Калининградская область;Озерский;Дубровка;54.45;21.833;0;0;0;0;0
1638;СЗФО;Калининградская область;Славский;Дубровка;54.8;21.683;0;0;0;0;0
1639;ЦФО;Калужская область;Думиничский;Дубровка;54.16;34.933;0;0;0;0;0
