;District RUS;Region RUS;Район RUS;City RUS;ШИРОТА google;ДОЛГОТА google;Актуален М;Актуален В;Актуален Е;;
725;СФО;Омская область;Большеуковский;Большие Уки;56.933;72.666;0;1;0;1;1
734;СФО;Республика Хакасия;Бейский;Бондарево;52.916;90.5;0;0;1;1;1
776;СФО;Забайкальский край;Борзинский;Борзя;50.4;116.516;0;1;1;2;1
830;СФО;Иркутская область;Братский;Братск;56.11666667;101.6;0;1;1;2;1
831;ДФО;Хабаровский край;им. Полины Осипенко;Бриакан;52.283;135.916;0;0;1;1;1
836;ЦФО;Брянская область;Брянский;Брянск;53.25;34.316;1;1;1;3;1
860;ПФО;Республика Татарстан;Бугульминский;Бугульма;54.583;52.8;0;1;1;2;1
862;СКФО;Ставропольский край;Буденновский;Буденновск;44.783;44.133;0;1;0;1;1
873;СФО;Забайкальский край;Чернышевский;Букачача;52.983;116.9;0;1;0;1;1
876;ДФО;Республика Саха (Якутия);Усть-Алданский;Булун;62.883;130.316;0;1;0;1;1
884;ДФО;Сахалинская область;Курильский;Буревестник;44.916;147.616;0;1;0;1;1
896;СФО;Забайкальский край;Приаргунский;Бырка;50.633;118.55;0;1;0;1;1
897;СФО;Алтайский край;Быстроистокский;Быстрый Исток;52.366;84.383;0;0;1;1;1
900;УФО;Тюменская область;Вагайский;Вагай;57.916;69.16;0;1;0;1;1
907;СФО;Красноярский край;Балахтинский;Ванавара;60.333;102.266;0;0;1;1;1
909;УФО;Тюменская область;Белоярский;Ванзеват;64.233;66.33;0;0;1;1;1
913;ПФО;Удмуртская Республика;Воткинский;Варзи-ятчи;56.133;52.783;0;0;1;1;1
914;ПФО;Нижегородская область;Варнавинский;Варнавино;57.4;45.66;0;0;1;1;1
916;СФО;Омская область;Тарский;Васис;57.366;74.75;0;1;0;1;1
919;СЗФО;Псковская область;#Н/Д;Великие Луки ;56.35;30.516667;0;1;1;2;1
920;СЗФО;Новгородская область;Новгородский;Великий Новгород;58.516;31.25;0;0;1;1;1
921;СЗФО;Вологодская область;Великоустюгский;Великий Устюг;60.75889;46.303889;0;1;1;2;1
922;СЗФО;Архангельская область;Вельский;Вельск;61.06666667;42.1;0;0;1;1;1
937;ДФО;Республика Саха (Якутия);Верхневилюйский;Верхневилюйск;63.45;120.3;0;1;0;1;1
938;СФО;Красноярский край;Енисейский;Верхнекемское;58.33;92.33;0;0;1;1;1
939;СФО;Иркутская область;Киренский;Верхнемарково;57.32555556;107.0230556;0;0;1;1;1
940;УФО;Челябинская область;Верхнеуральский;Верхнеуральск;53.883;59.2;0;1;0;1;1
941;СФО;Красноярский край;Каратузский;Верхний Кужебар;53.366;93.25;0;0;1;1;1
948;СЗФО;Архангельская область;Верхнетоемский;Верхняя Тойма;62.233;45.16;0;0;1;1;1
951;ДФО;Республика Саха (Якутия);Верхоянский;Верхоянск;67.55;133.383;0;1;0;1;1
952;СФО;Забайкальский край;Тунгокоченский;Вершино-Дарасунский;52.333;115.533;0;1;0;1;1
954;СФО;Новосибирская область;Краснозерский;Веселовское;53.983;78.716;0;1;0;1;1
985;ЮФО;Ростовская область;Мартыновский;Веселый;47.283;42.66;0;1;0;1;1
997;ПФО;Нижегородская область;Ветлужский;Ветлуга;57.85;45.766;0;0;1;1;1
1003;УФО;Тюменская область;Викуловский;Викулово;56.816;70.616;0;1;0;1;1
1005;ДФО;Республика Саха (Якутия);Вилюйский;Вилюйск;63.766;121.616;0;1;0;1;1
1008;ДФО;Республика Саха (Якутия);Ленский;Витим;59.45;112.583;0;1;1;2;1
1011;ДФО;Приморский край;;Владивосток ;43.11666667;131.9;0;1;1;2;1
1012;СФО;Республика Северная Осетия - Алания;Кировский;Владикавказ;43.5;44.65;0;1;1;2;1
1013;ЦФО;Владимирская область;Александровский;Владимир;56.116;40.35;0;1;1;2;1
1022;ПФО;Нижегородская область;Вознесенский;Вознесенское;54.883;42.75;0;0;1;1;1
1036;ЮФО;Волгоградская область;Ленинский;Волгоград;48.716;44.5;1;1;1;3;1
1047;СЗФО;Вологодская область;Вологодский;Вологда;59.216;39.866;0;1;1;2;1
1074;СФО;Алтайский край;Волчихинский;Волчиха;52.16;80.366;0;0;1;1;1
1085;СЗФО;Республика Коми;;Воркута;67.5;64.03333333;0;1;1;2;1
1112;СФО;Красноярский край;Туруханский;Ворогово;61.33;89.633;0;0;1;1;1
1114;ЦФО;Воронежская область;Рамонский;Воронеж;51.7;39.216;1;1;1;3;1
1221;ПФО;Нижегородская область;Выксунский;Выкса;55.333;42.183;0;0;1;1;1
1224;СЗФО;Вологодская область;Вытегорский;Вытегра;61.16;36.45;0;1;1;2;1
1237;ЦФО;г. Москва;;г. Москва;55.75166667;37.61777778;0;1;1;2;1
1238;СЗФО;г. Санкт-Петербург;Пушкинский;г. Санкт-Петербург;59.966;30.3;1;1;1;3;1
1244;ПФО;Нижегородская область;Гагинский;Гагино;55.233;45.5;0;0;1;1;1
1247;СФО;Забайкальский край;Газимуро-Заводский;Газимурский Завод;51.55;118.35;0;1;0;1;1
1256;ЮФО;Краснодарский край;;Геленджик;44.56083333;38.07666667;0;1;1;2;1
1260;ПФО;Удмуртская Республика;Глазовский;Глазов;58.133;52.666;0;0;1;1;1
1332;УФО;Тюменская область;Шурышкарский;Горки;65.66;65.266;0;1;0;1;1
